area,cell_label,file,mean_int,rbs,var_int
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos7.ome.tif,14220.616706344106,sd1,567522.3465967642
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos7.ome.tif,14418.195194284148,sd1,680370.3657281472
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos7.ome.tif,14433.850952312816,sd1,612921.7110357439
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos12.ome.tif,13972.163139834049,sd1,439797.4103490668
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos12.ome.tif,14023.111124595842,sd1,420411.9938576219
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos12.ome.tif,14264.414133744469,sd1,552915.8888054116
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos12.ome.tif,13962.172011474957,sd1,409536.02361206
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos12.ome.tif,13895.75386022317,sd1,628480.3036077389
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos5.ome.tif,14356.891984301397,sd1,492822.8466964889
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos5.ome.tif,14384.58452084127,sd1,482170.4465745601
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos5.ome.tif,14425.207652540223,sd1,612438.5294950784
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos5.ome.tif,14503.113972435933,sd1,518491.60983452504
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos5.ome.tif,14706.808337679522,sd1,615531.0013682984
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos4.ome.tif,14615.01933480668,sd1,736106.1871061227
